Topic,Count,Name,Representation,Representative_Docs,label
-1,2064,-1_it_the_to_app,"['it', 'the', 'to', 'app', 'and', 'very', 'this', 'is', 'for', 'of']","['This app is very use full and good I like it. I give 5 star or rate. This is good app. I very like it too much.', ""I like Claude. Very user friendly, not very many ads. I write a document and input to Claude and it gives you suggested edits, then I do the edits I like and run it thru the app again. 1 feature I like is I can say something like in paragraph 5 change sentence 2 to _____ and it happens. I don't have a lot of experience with this app or AI in general this app is easy for me to understand use. 1 feature I would like to see in the free version is the ability to save the final draft within the app"", ""I really like it but for some reason the cameras not working okay a couple of days has passed it's still not working it says I have to sign in with Microsoft it won't let me sign in with Google i loves the app but please fix it I will give you five stars when you do I'm not trying to pay you with it or anything I'm just saying I don't give you five stars because of it I don't want it to sound mean but love the app help me with business and with a style and to make me feel better and then ai""]",Outlier
0,5291,0_it_and_the_to,"['it', 'and', 'the', 'to', 'is', 'for', 'this', 'ai', 'you', 'app']","['I recently tried Claude and my experience has been quite good so far. The app is simple and easy to use, and the responses are usually clear and helpful. I mainly used it to ask general questions out of curiosity. The answers were detailed and easy to understand. It feels like talking to a smart assistant that can explain many topics in simple language. One thing I like is how fast it responds. Instead of searching through many websites, the AI gives a direct explanation in one place. This saves', ""it is very helpful and knowledgeable app thank you for make this app because I am very interested to use this app ans my all problems like health related parrot related it's very helpful for me and its give answer to quickly the best think is camera and image to send image and you recognise all the photo and solve the problem like I am very happy to see the app and its give me edible pictures and video idea regards to the college work thanks"", 'this is one of the best AI generation apps even though it will make mistakes, but it works all the time when I tell the AI about the mistakes but I would love to see an update to remove the daily limit of images generated because I also do software programming and I use these for screens on it, but overall, the app does what it should and its perfect. 5 stars for sure. It is easy to use, no annoying ads, and it teaches me how to do stuff. Thanks for making this app, it changed my life.']",it / and / the
1,723,1_hai_voice_bahut_bhi,"['hai', 'voice', 'bahut', 'bhi', 'ke', 'aur', 'to', 'se', 'kar', 'ki']","['very good bahut hi achcha hai ismein acche se photo editing hota hai aur apne sare sawal ka jawab bhi milta hai mujhe bahut hi achcha Laga hai thank you', 'chat GPT is the best. Padhaai ke liye bahut help karta hai. Har question Ka Jawab Mil Jata Hai Bus Itni ek hi problem hai ki bus teen bar photo Dekhkar karne ke bad Dobara click Nahin hota hai aur ismein payment bhi mangta hai per Aisa Kyon. Kis chij Ko aap bus Hata dete to Achcha Hota kam se kam 10 to photos click karke dekh sakte hain na Itna alaud Diye Hote To Achcha Hota Hai. per padhaai ke liye bahut help hoti hai padhaai se relative bhi question bahut Achcha jawab Mil Jata Hai', 'Gimini ko kabhi kabhi reply karne mein bahut time lagta hai kabhi kabhi main sochti Hun ki ye app bahut Ganda hai but ye bahut jyada helpful app hai agar kuchh samajh mein Na Aaye to yah bahut jaldi samjha deta hai Kisi bhi question ko acche se samjhata hai ek ek word ko aur mujhe bahut achcha lagta hai kabhi main free rahti hun to baat bhi kar leti Hun to acche se reply Deta hai friendly agar aap aise hi baat karo ya question se baat karo question ka answer mangne ke liye to yah sab mein achcha']",hai / voice / bahut
2,644,2_gemini_the_to_and,"['gemini', 'the', 'to', 'and', 'it', 'is', 'google', 'of', 'my', 'you']","['gemini good app and you share your all problems and gemini is solution your question i experience gemini is Good app better than other', 'Gemini is good app and u can take help any time from gemini i love it', ""Gemini is not good at all. there's a place in the Gemini app where you can save things so Gemini can remember them in future conversations but it doesn't work. there's a way to give Gemini access to your exact location at all times but if you ask it for the weather it'll give you the weather for Washington D.C. or for the entire country instead of for where you are. I would not waste your time on this AI because it's over if the worst AI models I've ever used. Chat GPT is more accurate.""]",gemini / the / to
3,389,3_copilot_and_it_my,"['copilot', 'and', 'it', 'my', 'to', 'the', 'is', 'that', 'for', 'with']","[""update 9 2025 - i have been using this and ChatGPT, and i am now exclusively using Copilot. ChatGPT and Copilot, to me, feel, edit, and search the same way now... i really see no difference between them. I choose Copilot because i like that it's owned by Microsoft ChatGPT seems, to me, to be sharing itself with other developers i don't know. What i just wrote might be false but from the information i have read, MS is still THE developer of Copilot. i see no difference between ChatGPT Copilot."", 'Excellent, and happy with the Copilot experience. Thank you Team Copilot.', 'I just love what my copilot can do for me. Copilot brings my imagination to life.']",copilot / and / it
4,230,4_perplexity_search_pro_and,"['perplexity', 'search', 'pro', 'and', 'the', 'is', 'ai', 'to', 'of', 'it']","['I prefer using perplexity versus pretty much any other AI so far is that I can be more myself while asking questions. perplexity actually coaches me on how to refine my searches and interact with it! I use perplexity for stock info which is relatively up to the minute accuracy. I will continue to utilize perplexity to further my financial freedom! thanks guys keep up the good work look forward to seeing how good it can get!', 'perplexity is the best ai in the world I like using this AI', 'This is best AI app perplexity pro is so best']",perplexity / search / pro
5,89,5_number_phone_account_invalid,"['number', 'phone', 'account', 'invalid', 'login', 'my', 'to', 'it', 'sign', 'in']","['it says invalid phone number even my number is correct', ""I didn't even use it because when starting up my account, whenever I try to get a verification code, it would say invalid phone number even though I checked multiple times that the country code was correct, and my phone number was quite literally the copy paste of my sim number. There is nothing wrong with my number, it just won't even let me open an account."", 'Are you guys not offering your services in Pakistan? because in the phone number verification it shows 92 dial code but no matter how I enter my phone number it always says invalid phone number . Are you kidding me ? Why would I be providing my wrong phone number? I even tried it with my mom\'s email and phone number and same thing happened ""Invalid Phone Number"" yes this is error that come up.']",number / phone / account
6,78,6_ہے_في_من_جدا,"['ہے', 'في', 'من', 'جدا', 'از', 'رو', 'میں', 'به', 'العربية', 'خیلی']","['هم جواب هاش بهتر از چت جی پی تی هست و هم اینکه اگه جایی اشتباه کنه و بهش بگی اشتباه کرده اگه واقعا براش اثبات بشه قبول میکنه. ولی چت جی پی تی میگه اره تو هم درست میگی ولی جواب من هم یه جورایی درسته.', 'خیلی خطا تو کارش هست و جابه جا خیلی چیز هارو میگه و خیلی بدتر از اون با وجود اینکه اینترنت کاملا قویه و هیچ مشکلی نداره وقتی باهاش چت میکنی جواب نمیده و هیچ ری اکشنی نشون نمیده و بهونش اینه که اینترنت ضعیفه در صورتی که حتی خیلی قوی هم است و در خیلی از مواقع یه موضوع نا مرتبط رو جواب میده و منظور رو درست نمیفهمه اینا مشکلاتشه و اینکه یازندگان لطفا تلاش کنند تا رابط کاربریش رو بهتر کنن و سرعتش رو هم بالاتر ببرن لطفا هرچه زود تر مشکلات رو حل کنید این برنامه حیفه میتونه خیلی بهتر باشه ولی مشکل داره', 'گوگل کی جیمنی ٹولز اتنی بہتر نہیں ہے لیکن اپ اگر یہاں پہ کام کرتے ہیں یا کچھ علم حاصل کرتے ہیں تو ان کے پاس تحقیقی مواد کتب اور ایک وسیع ذخیرہ ضرور موجود ہے اس میں کوئی شک نہیں کہ ڈیجیٹل دور اور الگوریتھم کی دنیا میں گوگل نے ایک منفرد مقام حاصل کر لیا ہے اور دنیا بھر میں معلومات تک رسائی کا ایک بڑا ذریعہ بن چکا ہے لیکن اصل حقیقت وہ نہیں جو اوپر سے نظر آتی ہے بلکہ وہ ہے جو ایک عام صارف اپنے تجربے میں محسوس کرتا ہےکیا حکم ہے میرے آقا الہ دین کا چراغ تو ہوتا ہے کہ آپ اسے رگڑیں اور']",ہے / في / من
7,72,7_trust_built_in_every,"['trust', 'built', 'in', 'every', 'sources', 'cited', 'information', 'transparency', 'ensures', 'citations']","['Trust Built In is what sets this app apart, every response is cited with credible and authentic sources I can rely on..', 'Trust Built In ensures authenticity and credibility in every answer giving me confidence to rely on Perplexity for learning!', 'Trust Built In ensures factual, cited answers every single time..']",trust / built / in
8,64,8_আম_কর_একট_অন,"['আম', 'কর', 'একট', 'অন', 'এট', 'সব', 'এব', 'যবহ', 'তর', 'উত']","['জ ম ন আম ক আম র মন র মত ছব কর দ য ন ত ই আম আজ থ ক আর জ ম ন ব যবহ র করব ন', 'আম ত ন বছর ধর Google Gemini ব যবহ র কর ছ , ক ন ত খ বই হত শ প র য সব সময ভ ল তথ য দ য , স ধ রণ প রশ ন ও ব ভ র ন ত কর আপন চ ইল এর পর বর ত ChatGPT ব যবহ র করত প র ন এট ন র ভরয গ য, প রশ ন ভ ল ভ ব ব ঝ , এব সহ য ক উত তর দ য', 'ঝ ম ন আম র মত অন ক ভ ল জ ম আম ক সব সময স হ য য কর ত ই আম এক ফ ইভ স ট র গ র ড দ চ ছ ধন যব দ এমন আব র নত ন এআই খ লল আম ওট ও ব যবহ র করব']",আম / কর / একট
9,62,9_star_stars_it_give,"['star', 'stars', 'it', 'give', 'five', 'rating', 'one', 'because', 'gave', 'to']","['this is the one of the best so I gave it a 5 star rating. I LOVE IT.', ""it's not working...so there's no star to be given I just gave one star because I had a complaint"", 'I have given it five stars back then but now its one star']",star / stars / it
10,57,10_pilot_co_to_and,"['pilot', 'co', 'to', 'and', 'my', 'love', 'it', 'me', 'has', 'of']","['Co pilot is amazing, so thankful for it to be a part of my life.', 'I really like the co-pilot AI I like to say pilot to Copilot', ""I am really impressed with Co-pilot! Anything you need to put into writing to a business, Co-pilot is a great help! If you're at a loss for words for anything, ask Co-pilot to write it. If it's not quite right then it's easy to get Co-pilot to change that part!""]",pilot / co / to
11,53,11_airtel_pro_subscription_free,"['airtel', 'pro', 'subscription', 'free', 'year', 'perplexity', 'for', 'they', 'card', 'users']","[""Worst-ever Application because airtel users got free 1 year subscription but few months those application need promo code to unlock pro version but why and cheated to airtel users , please fix it and unlock again pro subscription for 1 year it's already activated but not usable"", 'I activated the airtel perplexity pro benefit. I still have 6 months of pro subscription. But, asking me to add card details to continue using pro.', ""this is a good ai tool for airtel users and it's free for a year for airtel users it's amazing""]",airtel / pro / subscription
12,49,12_बह_और_कर_अच,"['बह', 'और', 'कर', 'अच', 'रह', 'एक', 'नक', 'पर', 'यह', 'इस']","['ए बह त अच छ ह और पढ ई करन क ल ए भ बह त अच छ ह और य जफ ल भ बह त ह और इस बच च भ बह त त ज ह सकत ह ज य द स', 'I am very happy to u I like thik म आप ज प स टर बन कर भ ज ह म उसस बह त स त ष ट ह और ऐस ह प स ट म आपस च हत ह आपस बनव न च हत ह आप बह त ह अच छ ह द न य म सबस ब स ट आई क इस त म ल क य ज रह ह यह क ब र म ज तन बड ह ब ल ज ए उतन ह क म ह ऐस लगत ह क स र क स र ज नक र ऐस ह ल य ज रह ह और एक ब हतर ज नक र क ल ए म भ यह स ज नक र ल रह ह इसल ए इस ल ग बह त अच छ स ज ड ह ए ह अच छ स अच छ सव ल क जव ब म ल ज त ह इसल ए म र भ ग ज इश ह क h', 'बह त अच छ ऐप ज ब ल वह द त ह और बह त आस न स द त ह इसक सभ क म क ल ए उपय ग कर सकत ह म इसक य ट य ब क ट क ट इटल और थ बन ल बन न क ल ए उपय ग करत ह ज क फ फ स ट और बह त अच छ तर क स अपन क ट इटल और ड स क र प शन वग रह सभ प र प त ह ज त ह']",बह / और / कर
13,49,13_thread_follow_up_learning,"['thread', 'follow', 'up', 'learning', 'continuous', 'understanding', 'remembers', 'discussions', 'conversation', 'my']","['Thread Follow-Up enhances knowledge growth. Revisiting the same thread deepens my understanding with every new detail added,,', 'Thread Follow-Up turns learning into a continuous experience keeping all connected ideas in one thread!', 'Thread Follow-Up ensures that my learning experience continues naturally with each follow-up conversation for clarity and depth.,']",thread / follow / up
14,45,14_discover_community_learning_shared,"['discover', 'community', 'learning', 'shared', 'curiosity', 'curious', 'me', 'daily', 'ideas', 'by']","['Discover community makes learning exciting, social, and full of fresh ideas.', 'Discover inspires curiosity, makes learning feel like a shared community journey,', 'Discover helps me learn fresh insights from the curious community..']",discover / community / learning
15,41,15_de_que_la_es,"['de', 'que', 'la', 'es', 'el', 'un', 'una', 'no', 'muy', 'para']","['Me encanta esta IA, es bastante humana y me gusta que desglose los temas y los explique de una manera sencilla y facil de entender, ademas de dar datos y ayuda clave, lo mejor de lo mejor literal y no me pagan ni un dolar.', 'Tiene varios problemas que no tienen otras Ai, los resultados distan de ser fiables.. no se pueden borrar mensajes, hay que bajar hasta abajo para ver lo más reciente, los limites de consultas son cortos, parece que van mejorando cosas.. debería ser parecido el interfaz de App y Web aunque supongo que App tiene más margen de características..', 'los chats ""personalizados"" son básicamente que el bot se queda aferrado a un tema que mencionaste en una conversación casualmente. eso no es personalización, es que es una IA mal programada. además, es demasiado progresista y se pone a aclarar que ""no es por ofender"" cuando obviamente uno, como ser humano pensante, sabe que una IA es incapaz de ofender']",de / que / la
